weight,term,year,topic n
0.03571875269541267,не,2010,0
0.01950378955115479,на,2010,0
0.01874786483233042,что,2010,0
0.01874572509742062,он,2010,0
0.014905029077497424,с,2010,0
0.012355874010169162,она,2010,0
0.009807433889419404,как,2010,0
0.009547514497213975,я,2010,0
0.008691621114274354,все,2010,0
0.008134889422436956,а,2010,0
0.0080295309156247,так,2010,0
0.007761063544341796,А,2010,0
0.007487765169871931,И,2010,0
0.0068875728339445825,уже,2010,0
0.006790995611963592,к,2010,0
0.02957877325197835,США,2010,1
0.014434024980952873,для,2010,1
0.012977461318952726,с,2010,1
0.012787628666890894,на,2010,1
0.010091958447288815,по,2010,1
0.009574316185177931,не,2010,1
0.009376271274263116,ВС,2010,1
0.008943891527553855,более,2010,1
0.00847652909194019,а,2010,1
0.008060299557989344,будет,2010,1
0.0072061444923286,безопасности,2010,1
0.007197868556749502,Никарагуа,2010,1
0.006007957542264803,будут,2010,1
0.005756027888356238,двух,2010,1
0.005627915074648386,со,2010,1
0.023201754281706143,что,2010,2
0.0216514656062989,не,2010,2
0.016443325613515494,его,2010,2
0.013922181451341472,а,2010,2
0.0129793597117108,он,2010,2
0.012642577454450037,но,2010,2
0.010765809968563233,–,2010,2
0.009488650754977297,него,2010,2
0.008955852523720964,это,2010,2
0.008022176152804657,потому,2010,2
0.007884138555778063,как,2010,2
0.007713697575757185,с,2010,2
0.00726110480979529,или,2010,2
0.006742955352254288,тем,2010,2
0.00561487979631515,к,2010,2
0.05868339816516628,на,2010,3
0.01354673772480594,с,2010,3
0.011698035070596588,года,2010,3
0.0110561646149091,В,2010,3
0.009984183876825554,что,2010,3
0.009386047927883435,году,2010,3
0.009336964545160932,По,2010,3
0.008786799898965452,до,2010,3
0.008607331844263334,по,2010,3
0.005858580915331005,за,2010,3
0.005185747517909003,этом,2010,3
0.005011814731554409,для,2010,3
0.0049212390342268575,а,2010,3
0.004550877253021998,долларов,2010,3
0.0045238697326174795,США,2010,3
0.02113960057602903,что,2010,4
0.020028829857870873,на,2010,4
0.019747548459367197,США,2010,4
0.011851414652671791,России,2010,4
0.009931503538761112,по,2010,4
0.008419444199389966,ПРО,2010,4
0.008001061005046061,о,2010,4
0.0077750997813837205,стратегических,2010,4
0.007258730408510137,сдерживания,2010,4
0.007129146497568613,не,2010,4
0.006581731401878857,выпуска,2010,4
0.00639788145779501,Дата,2010,4
0.006397630491545324,Заглавие,2010,4
0.006389612609158857,с,2010,4
0.006275936316061586,Источник,2010,4
0.023931612350923195,–,2010,5
0.01699552810628155,не,2010,5
0.0165275235841939,на,2010,5
0.013271216825129595,а,2010,5
0.01327015807660669,что,2010,5
0.012556941294872425,по,2010,5
0.011200673400284997,к,2010,5
0.009489570175221855,от,2010,5
0.00825644686509921,В,2010,5
0.008054728875288051,но,2010,5
0.007924596835900811,с,2010,5
0.007757929559430397,о,2010,5
0.007245479630297828,его,2010,5
0.007055620902312566,есть,2010,5
0.006347801348170449,информации,2010,5
0.023502203537023,на,2010,6
0.017086362360514726,с,2010,6
0.011495773385671483,–,2010,6
0.009501657449072987,the,2010,6
0.008578959544146817,В,2010,6
0.006100710287468004,of,2010,6
0.00576541943726796,М,2010,6
0.005509537635009614,во,2010,6
0.0054890842110401645,между,2010,6
0.0052055333901459624,Востоке,2010,6
0.005132787868648778,что,2010,6
0.0050903566401103,Сирии,2010,6
0.0050621411902340464,Ближнем,2010,6
0.00505199333568258,государств,2010,6
0.00497608257612251,стран,2010,6
0.025174064595974405,НАТО,2010,7
0.01942648705962592,на,2010,7
0.013382132452765134,–,2010,7
0.010195998621236196,как,2010,7
0.00964200709469389,не,2010,7
0.009380087386922711,с,2010,7
0.009168000336589923,ЕС,2010,7
0.00857720139768933,г,2010,7
0.008216696783171863,а,2010,7
0.008164096134030265,Сербии,2010,7
0.007561620889146341,что,2010,7
0.007097792316288522,к,2010,7
0.00690248995452152,из,2010,7
0.006550484372473922,США,2010,7
0.006161933463044584,от,2010,7
0.030420547081635562,не,2010,8
0.01862952405162073,с,2010,8
0.017899808097701517,что,2010,8
0.015135564759298116,по,2010,8
0.01406594821242652,на,2010,8
0.012987417837415664,за,2010,8
0.010523208558424849,от,2010,8
0.010186865676170873,при,2010,8
0.008441973730288824,у,2010,8
0.008245302051100757,для,2010,8
0.008169374527791822,На,2010,8
0.00800737675569447,это,2010,8
0.00792801724292357,лет,2010,8
0.007854727944754027,к,2010,8
0.007545512288446,есть,2010,8
0.0232908091067145,на,2010,9
0.013943602106439825,по,2010,9
0.01291801063952208,с,2010,9
0.011063124347597642,не,2010,9
0.00792791718946234,США,2010,9
0.007799342319422897,В,2010,9
0.006253258406806148,что,2010,9
0.0062190576215270365,КНДР,2010,9
0.005348436003040306,от,2010,9
0.005344010569934227,о,2010,9
0.004972612634785572,для,2010,9
0.004722609636861911,к,2010,9
0.004481535640485294,Японии,2010,9
0.00447165524765851,из,2010,9
0.0041901146817814655,до,2010,9
0.051195236959957854,не,2010,10
0.03308241919158415,на,2010,10
0.028947528784312858,с,2010,10
0.018736444582912255,что,2010,10
0.016758483684546424,как,2010,10
0.012294007275554138,но,2010,10
0.012090926128318868,по,2010,10
0.011747243523382755,это,2010,10
0.011554248546518897,к,2010,10
0.010174176379287199,только,2010,10
0.009781655095274308,И,2010,10
0.009614363743123331,было,2010,10
0.008999973430256278,А,2010,10
0.008602090282862688,а,2010,10
0.008338071935013404,очень,2010,10
0.018234092841898916,не,2010,11
0.016549744153155424,что,2010,11
0.014654312705918729,бы,2010,11
0.0137101941943157,как,2010,11
0.013461892140450862,к,2010,11
0.012456702077425942,быть,2010,11
0.009490879061671374,или,2010,11
0.009227687302147937,с,2010,11
0.00875707469544769,это,2010,11
0.008102015546930408,они,2010,11
0.007827165330159896,их,2010,11
0.007102085046929189,на,2010,11
0.005929782826661162,должны,2010,11
0.0056288138939513,от,2010,11
0.0055638292297232605,мы,2010,11
0.03929072828439056,не,2010,12
0.030293294916693657,что,2010,12
0.0163977473227212,на,2010,12
0.011692166500497543,как,2010,12
0.00951738084429631,у,2010,12
0.009046144961700201,это,2010,12
0.008842072045342663,то,2010,12
0.008592325217358369,с,2010,12
0.008027863090127148,бы,2010,12
0.007906583373445925,Но,2010,12
0.007792912795586457,ли,2010,12
0.0075305376118574895,а,2010,12
0.007486059319241689,от,2010,12
0.0071487971284701106,для,2010,12
0.007072421193054212,из,2010,12
0.018812212115567713,на,2010,13
0.018623193244403587,что,2010,13
0.013654845906827954,по,2010,13
0.013225819727856856,не,2010,13
0.011008291747896762,это,2010,13
0.010149056627200137,с,2010,13
0.00902711740412159,за,2010,13
0.008370460146176172,о,2010,13
0.00835780152988727,В,2010,13
0.007534092732519777,мы,2010,13
0.005716921544447091,которые,2010,13
0.005455174261988946,том,2010,13
0.005223524335791899,законопроект,2010,13
0.005204836751096921,я,2010,13
0.00517437705384884,у,2010,13
0.017344020825372945,на,2010,14
0.016656061512609836,США,2010,14
0.015929229523425428,России,2010,14
0.011829987329263778,для,2010,14
0.010399863443663403,ядерного,2010,14
0.008454215707904581,о,2010,14
0.007944706301947364,ПРО,2010,14
0.007220375826702122,В,2010,14
0.00713727434039604,по,2010,14
0.006208078326380896,к,2010,14
0.00565007731172025,как,2010,14
0.005608964150725667,не,2010,14
0.005534344725161997,системы,2010,14
0.005430671213983101,ее,2010,14
0.005302353900293799,с,2010,14
0.015231120302586186,на,2010,15
0.013106466995458286,В,2010,15
0.011769433899210998,–,2010,15
0.011485586929211939,науки,2010,15
0.011194789425296817,РАН,2010,15
0.009777998813307064,г,2010,15
0.008931428579949979,№,2010,15
0.008109430872855164,что,2010,15
0.00746374941976894,of,2010,15
0.007118516305498231,по,2010,15
0.006742837597060758,the,2010,15
0.00654440973428379,с,2010,15
0.0064546619882335085,А,2010,15
0.006173302695360445,С,2010,15
0.005734340012402205,наук,2010,15
0.020262215456609695,на,2010,16
0.013159988445267733,с,2010,16
0.01046390245944973,по,2010,16
0.00907969521573054,В,2010,16
0.008025330992198076,для,2010,16
0.007304541701417673,США,2010,16
0.0064264016142415,года,2010,16
0.006415343781425841,ВМС,2010,16
0.005884021337612256,а,2010,16
0.005633930304302166,ракет,2010,16
0.005399905149835788,–,2010,16
0.005296006086039828,МБР,2010,16
0.005192308000341398,ракеты,2010,16
0.004418331580995511,до,2010,16
0.0041733366278590475,что,2010,16
0.02562423464898078,на,2010,17
0.01883670970310569,с,2010,17
0.01581627246973349,В,2010,17
0.0146454516579023,также,2010,17
0.013950632779707286,что,2010,17
0.013428849829236776,США,2010,17
0.011741581013711108,НАТО,2010,17
0.009288846044875891,по,2010,17
0.00766876994769299,к,2010,17
0.007362027088708368,а,2010,17
0.005652465632434808,безопасности,2010,17
0.0050352011559028015,страны,2010,17
0.004940554758446158,оружия,2010,17
0.004366401959639631,для,2010,17
0.0039699326512955,обороны,2010,17
0.014568750252669523,с,2010,18
0.012848156681511798,о,2010,18
0.01127119095184404,по,2010,18
0.008683194441389357,не,2010,18
0.008487216227448495,на,2010,18
0.007896468680367103,а,2010,18
0.006968693907979319,насилия,2010,18
0.006355491138738321,к,2010,18
0.005697770024698238,как,2010,18
0.0055261298239698605,В,2010,18
0.005366997822953943,страны,2010,18
0.005282686548959605,от,2010,18
0.005196442974888943,что,2010,18
0.004613790881621738,для,2010,18
0.00457825745359837,—,2010,18
0.020644445793823372,не,2010,19
0.016755013312129315,что,2010,19
0.013648895350672355,с,2010,19
0.013328772744405705,на,2010,19
0.011917703365599403,о,2010,19
0.010784491690069405,по,2010,19
0.009467030371019241,это,2010,19
0.00838148687911858,к,2010,19
0.007796038963003358,СНВ,2010,19
0.0074835293978697546,США,2010,19
0.0074006699887203715,ли,2010,19
0.006120221001154946,то,2010,19
0.005794095533475458,Но,2010,19
0.005758133061103326,Мы,2010,19
0.005456814108209502,России,2010,19
0.03658578631728126,не,2011,0
0.01969375075774151,на,2011,0
0.018702039276339108,что,2011,0
0.01795815244014922,он,2011,0
0.015017437077530008,с,2011,0
0.012308908761560499,она,2011,0
0.009784770446161755,как,2011,0
0.009602161745004844,я,2011,0
0.008708014213091026,все,2011,0
0.008108683880594039,а,2011,0
0.007971004853035283,так,2011,0
0.007856963977040665,А,2011,0
0.007721147117439498,И,2011,0
0.006842028928794725,уже,2011,0
0.006795582432611145,бы,2011,0
0.027578384069188916,США,2011,1
0.014266476897140314,для,2011,1
0.01307280392804006,с,2011,1
0.012817970266324337,на,2011,1
0.010165138316713083,по,2011,1
0.009266038492417061,будет,2011,1
0.009157189201562612,не,2011,1
0.008414038894688357,более,2011,1
0.008331601838249257,Никарагуа,2011,1
0.00788293578395134,а,2011,1
0.007224495538507362,безопасности,2011,1
0.006913724069768068,ВС,2011,1
0.006216351985706417,будут,2011,1
0.005570195228293797,со,2011,1
0.004989771329785859,двух,2011,1
0.02297179386671446,что,2011,2
0.021822392555034213,не,2011,2
0.016750191095077055,его,2011,2
0.013951835794163512,а,2011,2
0.01288665402279838,он,2011,2
0.012667890157238345,но,2011,2
