weight,term,year,topic n
0.018437557447939585,ядерный,1972,0
0.0154792021424586,сдерживание,1972,0
0.012266472698498745,стратегический,1972,0
0.009637329300403763,ракета,1972,0
0.007989942339611202,сша,1972,0
0.007254561188659517,боевой,1972,0
0.007154070355276774,военный,1972,0
0.006565912059864874,средство,1972,0
0.006225395117978764,рвсна,1972,0
0.0055381607957534305,ракетный,1972,0
0.005467039785441056,морской,1972,0
0.005241691638753597,вооружение,1972,0
0.0052229607993993146,система,1972,0
0.004935621913419885,связь,1972,0
0.0049178746350315794,создание,1972,0
0.17161638104145435,грузия,1972,1
0.026354034098540823,южный_осетия,1972,1
0.022517898952071964,абхазия,1972,1
0.009632295156135198,украина,1972,1
0.008553204715702305,отказаться,1972,1
0.008077311547661581,обсудить,1972,1
0.008037721981137268,кандидат,1972,1
0.007016655646575964,тимошенко,1972,1
0.0062553127423664425,ющенко,1972,1
0.005361826768021861,молдавия,1972,1
0.004560812740801444,москва,1972,1
0.0039340568634186526,отношение,1972,1
0.003876041856651793,белоруссия,1972,1
0.0035979098651718676,лукашенко,1972,1
0.0033054652988225904,янукович,1972,1
0.34574662342785123,поддержка,1972,2
0.007718113152147081,план,1972,2
0.005073095635248811,янукович,1972,2
0.004681240997572573,млн,1972,2
0.004664069122999258,тимошенко,1972,2
0.004177113436442556,нефть,1972,2
0.003647994691210909,ющенко,1972,2
0.0034151674717802435,стоить,1972,2
0.0033997365918579177,медведев,1972,2
0.0033930220125643474,украина,1972,2
0.0033870115498337424,заявлять,1972,2
0.003067135440944051,партия_регион,1972,2
0.002904628778989176,москва,1972,2
0.002840056074879504,южный_осетия,1972,2
0.002650918644770231,киргизия,1972,2
0.014419790982221488,запугивание,1972,3
0.007416186907595161,устрашение,1972,3
0.0065829622160877175,советский,1972,3
0.006189370403199117,власть,1972,3
0.005820771538147279,сталин,1972,3
0.005761750249319103,армия,1972,3
0.004191613951251032,американец,1972,3
0.004085877069268538,ссср,1972,3
0.003749165616809996,танк,1972,3
0.003738923661068163,противник,1972,3
0.003169715548687302,страх,1972,3
0.0031203080734692667,враг,1972,3
0.003053239138753107,победа,1972,3
0.0030240332544020565,момент,1972,3
0.0030205084994323734,мировой,1972,3
0.022810515923736008,президент,1972,4
0.015285725337615231,партия,1972,4
0.011725387060563447,владимир_путин,1972,4
0.011539840238635404,кандидат,1972,4
0.011045844733943313,путин,1972,4
0.010935967784716621,политический,1972,4
0.010602467193269422,выборы,1972,4
0.006980055947093716,встреча,1972,4
0.006618151745103194,выступать,1972,4
0.006521484123161508,депутат,1972,4
0.006007545918141134,парламент,1972,4
0.0058280757096414015,российский,1972,4
0.005265963449296904,реформа,1972,4
0.004716610558721748,киргизия,1972,4
0.004590178086603961,глава_государство,1972,4
0.022669755210492724,сша,1972,5
0.01836435685720855,ядерный,1972,5
0.012524095439522844,средство,1972,5
0.011953572607553016,сдерживание,1972,5
0.010249919485710421,американский,1972,5
0.009510250944185556,политический,1972,5
0.008914760292145642,международный,1972,5
0.008780229250159916,стратегический,1972,5
0.008436978599018156,военный,1972,5
0.008309895016163256,угроза,1972,5
0.007834760160300163,цель,1972,5
0.007516626865463987,ядерный_оружие,1972,5
0.006216960348227668,безопасность,1972,5
0.005811841687888702,стратегия,1972,5
0.005070051432455267,концепция,1972,5
0.015033980417055063,российский_федерация,1972,6
0.009932151776964571,государство,1972,6
0.008878772139782134,отношение,1972,6
0.008483087379399068,сотрудничество,1972,6
0.008272382510386962,международный,1972,6
0.008132804577481736,договор,1972,6
0.006790960118350195,российский,1972,6
0.0066606299657972325,безопасность,1972,6
0.006109603490954493,конфликт,1972,6
0.0060113781445177246,оон,1972,6
0.005993184572023773,республика,1972,6
0.005808583346016855,интерес,1972,6
0.005773322059603706,создание,1972,6
0.005477858416038146,сфера,1972,6
0.005458463989697945,укрепление,1972,6
0.024948768167394397,ядерный,1972,7
0.019763905189698786,сдерживание,1972,7
0.016071398501655558,договор,1972,7
0.01563647724321727,стратегический,1972,7
0.011119472953147722,сша,1972,7
0.011019385196256422,российский,1972,7
0.01016509440717639,система,1972,7
0.01005649549979585,потенциал,1972,7
0.009249263020250432,снв,1972,7
0.008022905931422608,кндр,1972,7
0.006827170294880079,американский,1972,7
0.006572489953784924,рф,1972,7
0.00563169153518957,развитие,1972,7
0.004760318862045798,заявить,1972,7
0.004616656861453595,президент,1972,7
0.037122968906964364,военный,1972,8
0.018457920134926906,сдерживание,1972,8
0.012983806736300877,государство,1972,8
0.012344543791048148,стратегический,1972,8
0.01075220404770646,обеспечение,1972,8
0.008867720315708294,действие,1972,8
0.008469493857452206,интерес,1972,8
0.00844769729687376,вооружённый,1972,8
0.00844061992334985,операция,1972,8
0.007633021261428195,морской,1972,8
